Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings_Per_Week,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP00021,55,Prefer not to say,Designer,Finance,22,Remote,25,3,3,Low,Depression,Yes,Decrease,4,Neutral,2,Daily,Average,Asia
EMP00022,46,Male,Data Scientist,Manufacturing,35,Remote,36,0,5,Low,Depression,No,Decrease,5,Satisfied,5,Daily,Good,North America
EMP00023,32,Prefer not to say,Data Scientist,IT,8,Onsite,42,2,4,Low,Anxiety,No,Decrease,4,Satisfied,1,Daily,Average,Asia
EMP00024,60,Male,Project Manager,Manufacturing,22,Remote,46,1,3,Medium,,Yes,No Change,3,Satisfied,5,Weekly,Average,South America
EMP00025,36,Male,Software Engineer,Retail,35,Onsite,59,7,1,High,Anxiety,Yes,Increase,1,Unsatisfied,1,Weekly,Poor,South America
EMP00026,55,Prefer not to say,Marketing,Finance,22,Remote,24,10,3,High,Burnout,Yes,Increase,5,Neutral,1,Weekly,Good,Asia
EMP00027,38,Female,Software Engineer,Education,9,Onsite,36,5,3,Low,Burnout,No,No Change,4,Satisfied,5,,Poor,Africa
EMP00028,60,Male,Designer,Consulting,12,Onsite,60,12,4,Medium,,Yes,Decrease,4,Unsatisfied,4,,Good,Asia
EMP00029,57,Non-binary,Designer,Education,1,Remote,36,7,4,High,Depression,No,Decrease,1,Satisfied,5,Weekly,Average,Asia
EMP00030,49,Prefer not to say,Sales,Manufacturing,32,Remote,30,15,3,Low,Burnout,Yes,No Change,3,Satisfied,5,Weekly,Poor,Oceania
EMP00031,53,Female,Data Scientist,Healthcare,24,Hybrid,20,1,1,Low,Depression,Yes,Increase,5,Neutral,4,Daily,Good,Oceania
EMP00032,57,Non-binary,HR,Consulting,32,Onsite,45,1,3,Medium,Anxiety,No,No Change,5,Satisfied,3,,Poor,South America
EMP00033,47,Female,Project Manager,IT,11,Hybrid,59,4,3,High,Anxiety,Yes,Decrease,5,Satisfied,1,,Average,North America
EMP00034,51,Female,HR,Education,30,Onsite,60,8,3,Medium,Depression,Yes,Increase,4,Neutral,3,Weekly,Poor,Europe
EMP00035,30,Male,Sales,IT,27,Remote,29,0,4,High,Depression,No,Decrease,4,Unsatisfied,4,Weekly,Average,North America
EMP00036,50,Non-binary,HR,IT,11,Remote,54,9,5,High,Depression,Yes,Increase,3,Satisfied,5,,Good,Asia
EMP00037,34,Non-binary,HR,IT,26,Onsite,27,0,3,High,Burnout,Yes,Decrease,1,Satisfied,4,Daily,Average,Oceania
EMP00038,51,Prefer not to say,Designer,Finance,30,Onsite,43,7,5,Low,,No,Decrease,2,Satisfied,1,Weekly,Good,South America
EMP00039,29,Female,Project Manager,IT,9,Onsite,59,6,4,Low,,No,Decrease,2,Neutral,2,Daily,Average,South America
EMP00040,36,Male,Designer,Retail,15,Remote,60,0,1,Low,Depression,No,Decrease,5,Satisfied,5,Weekly,Average,Europe
EMP00041,27,Female,HR,Consulting,19,Onsite,26,7,4,Low,Burnout,Yes,Increase,4,Neutral,2,,Good,Europe
EMP00042,59,Female,Sales,Healthcare,15,Hybrid,35,9,1,Low,,No,Decrease,2,Unsatisfied,5,,Poor,Asia
EMP00043,24,Female,Designer,Education,30,Remote,35,10,5,Low,,Yes,Increase,2,Satisfied,5,Weekly,Average,Asia
EMP00044,38,Non-binary,HR,IT,33,Hybrid,28,1,1,High,Burnout,Yes,Decrease,1,Unsatisfied,4,Daily,Good,Asia
EMP00045,31,Prefer not to say,Data Scientist,Finance,33,Hybrid,21,10,1,Low,Anxiety,Yes,No Change,4,Satisfied,1,Weekly,Good,South America
EMP00046,51,Female,Marketing,Education,19,Onsite,51,14,4,High,Anxiety,Yes,Decrease,2,Satisfied,4,,Good,Europe
EMP00047,48,Female,Software Engineer,IT,12,Remote,38,5,2,Medium,Anxiety,Yes,No Change,5,Unsatisfied,1,Daily,Poor,Oceania
EMP00048,28,Male,Data Scientist,IT,31,Hybrid,31,3,2,Low,Burnout,Yes,Increase,3,Unsatisfied,5,Weekly,Poor,North America
EMP00049,48,Non-binary,HR,Education,27,Hybrid,30,4,2,Low,Depression,Yes,No Change,2,Satisfied,3,,Poor,North America
EMP00050,43,Female,Marketing,Manufacturing,19,Hybrid,29,1,4,Medium,Depression,No,Increase,4,Neutral,4,Daily,Good,Europe
EMP00051,38,Male,Designer,Education,22,Onsite,32,1,2,High,Depression,No,No Change,1,Satisfied,1,Daily,Good,North America
EMP00052,23,Prefer not to say,Software Engineer,Healthcare,14,Onsite,24,8,1,Medium,Depression,No,Decrease,1,Unsatisfied,3,Daily,Average,South America
EMP00053,36,Prefer not to say,Marketing,IT,34,Hybrid,30,3,2,High,,Yes,Decrease,2,Neutral,4,Daily,Poor,South America
EMP00054,33,Prefer not to say,Sales,Finance,27,Hybrid,23,12,2,High,Depression,No,No Change,5,Unsatisfied,2,,Average,Africa
EMP00055,40,Female,HR,Manufacturing,17,Hybrid,52,4,1,Medium,Depression,No,Decrease,4,Neutral,3,Weekly,Good,Africa
EMP00056,34,Prefer not to say,Designer,Finance,9,Hybrid,36,1,2,High,Depression,Yes,No Change,5,Satisfied,4,Weekly,Good,South America
EMP00057,46,Male,Marketing,Manufacturing,24,Onsite,31,12,3,High,Anxiety,Yes,No Change,1,Satisfied,2,Daily,Average,Europe
EMP00058,24,Female,Marketing,Finance,8,Remote,21,2,4,Low,Anxiety,No,Increase,4,Neutral,4,Daily,Poor,Africa
EMP00059,31,Female,HR,Retail,20,Hybrid,60,12,1,Low,Depression,Yes,Increase,3,Unsatisfied,2,Daily,Good,Oceania
EMP00060,32,Non-binary,Software Engineer,Healthcare,5,Remote,55,7,5,High,Burnout,Yes,Increase,4,Neutral,1,Daily,Poor,South America
EMP00061,44,Male,Data Scientist,Finance,7,Hybrid,58,2,3,Medium,Depression,No,Increase,1,Satisfied,1,,Poor,Africa
EMP00062,52,Prefer not to say,Designer,Manufacturing,2,Remote,22,0,5,Medium,,Yes,Increase,2,Neutral,2,,Average,Oceania
EMP00063,36,Female,Project Manager,Manufacturing,15,Remote,24,15,2,Low,Depression,No,Increase,1,Unsatisfied,3,,Average,Oceania
EMP00064,51,Prefer not to say,Marketing,Consulting,33,Remote,29,15,4,High,Depression,Yes,Increase,5,Satisfied,3,,Poor,North America
EMP00065,25,Female,Data Scientist,Education,4,Onsite,43,4,3,Low,,Yes,Increase,5,Unsatisfied,2,Daily,Good,Asia
EMP00066,38,Prefer not to say,Designer,Consulting,28,Onsite,45,3,2,Low,Burnout,No,No Change,3,Unsatisfied,4,Daily,Good,Africa
EMP00067,60,Non-binary,HR,Retail,22,Remote,59,15,4,Low,,No,No Change,5,Satisfied,5,Daily,Good,North America
EMP00068,51,Female,Marketing,Manufacturing,21,Remote,46,9,4,Medium,Burnout,No,No Change,4,Satisfied,1,,Poor,Europe
EMP00069,56,Female,Marketing,Consulting,4,Remote,55,10,2,Medium,,Yes,Increase,3,Neutral,3,Weekly,Average,South America
EMP00070,59,Male,HR,Consulting,11,Onsite,52,8,1,Low,Depression,No,No Change,1,Neutral,4,,Poor,South America
EMP00071,33,Female,HR,Finance,2,Remote,40,0,2,High,Anxiety,No,No Change,2,Unsatisfied,2,,Poor,South America
EMP00072,29,Female,Designer,Finance,4,Hybrid,38,1,3,Low,Anxiety,No,Decrease,2,Neutral,3,Weekly,Good,Europe
EMP00073,29,Female,Designer,Consulting,3,Onsite,44,12,4,High,Burnout,No,No Change,4,Neutral,3,,Average,Europe
EMP00074,28,Male,Data Scientist,Finance,1,Onsite,32,15,4,Low,Depression,No,Decrease,1,Satisfied,1,Daily,Average,North America
EMP00075,22,Non-binary,Project Manager,IT,33,Onsite,57,6,2,High,,No,Increase,3,Neutral,1,Daily,Average,Oceania
EMP00076,56,Non-binary,Marketing,Retail,7,Onsite,50,9,3,Low,,No,Decrease,3,Satisfied,3,Weekly,Good,Europe
EMP00077,43,Male,Software Engineer,IT,6,Remote,20,6,1,High,,Yes,No Change,4,Neutral,1,Daily,Good,Europe
EMP00078,55,Male,Sales,Retail,10,Hybrid,33,0,3,Low,Depression,Yes,Decrease,4,Unsatisfied,2,Weekly,Average,Europe
EMP00079,50,Male,Marketing,Healthcare,25,Remote,44,7,2,Medium,,Yes,Decrease,5,Neutral,4,Weekly,Average,Europe
EMP00080,46,Female,Marketing,IT,17,Hybrid,27,9,2,Low,Anxiety,Yes,Decrease,5,Neutral,3,Daily,Poor,North America
EMP00081,29,Non-binary,Project Manager,Manufacturing,10,Hybrid,46,5,1,Low,Burnout,No,No Change,1,Neutral,1,Weekly,Poor,South America
EMP00082,32,Non-binary,Sales,Healthcare,14,Onsite,25,1,1,Low,Anxiety,Yes,Decrease,2,Unsatisfied,5,,Average,South America
EMP00083,33,Prefer not to say,Sales,Retail,20,Onsite,49,8,3,Low,Burnout,Yes,Decrease,3,Neutral,2,Daily,Poor,Africa
EMP00084,35,Male,Project Manager,Finance,17,Onsite,27,5,5,Low,Anxiety,Yes,Increase,3,Satisfied,2,,Poor,Europe
EMP00085,33,Non-binary,Project Manager,Healthcare,10,Hybrid,59,13,2,Low,,No,No Change,2,Unsatisfied,4,,Poor,North America
EMP00086,51,Female,Designer,Consulting,11,Onsite,56,9,5,High,,No,Decrease,5,Satisfied,1,Weekly,Poor,Europe
EMP00087,42,Non-binary,Sales,Finance,34,Hybrid,35,14,1,High,Burnout,Yes,Increase,4,Neutral,5,Daily,Average,Africa
EMP00088,35,Male,Sales,Education,19,Remote,56,7,1,Low,Depression,No,Decrease,5,Unsatisfied,4,Daily,Average,South America
EMP00089,33,Prefer not to say,Data Scientist,Healthcare,13,Onsite,27,4,3,Low,,No,Decrease,5,Unsatisfied,1,Weekly,Poor,Asia
EMP00090,57,Male,Project Manager,Finance,18,Remote,53,14,2,Low,,No,Decrease,5,Satisfied,5,Daily,Average,Africa
EMP00091,25,Male,Sales,Manufacturing,23,Onsite,42,13,2,Low,Burnout,Yes,No Change,3,Unsatisfied,3,,Poor,Asia
EMP00092,31,Male,Sales,Education,18,Onsite,26,14,4,High,Burnout,Yes,No Change,2,Neutral,5,Daily,Good,Oceania
EMP00093,41,Prefer not to say,Sales,Healthcare,10,Hybrid,44,10,5,Low,Burnout,No,Increase,5,Unsatisfied,5,Weekly,Good,Oceania
EMP00094,58,Non-binary,Project Manager,Consulting,5,Onsite,24,15,4,Medium,Burnout,No,No Change,4,Neutral,1,Weekly,Good,Africa
EMP00095,53,Female,Data Scientist,Healthcare,8,Onsite,22,13,3,Medium,Anxiety,No,Increase,5,Neutral,4,Daily,Poor,Europe
EMP00096,35,Male,Data Scientist,Education,18,Onsite,23,7,4,Medium,Burnout,No,No Change,3,Unsatisfied,5,Daily,Poor,Asia
EMP00097,44,Prefer not to say,Designer,IT,1,Hybrid,31,10,4,High,Burnout,Yes,Increase,2,Unsatisfied,2,Daily,Average,North America
EMP00098,34,Female,Sales,Education,32,Hybrid,25,10,2,Low,Burnout,Yes,No Change,2,Unsatisfied,2,,Good,Africa
EMP00099,34,Male,Designer,Healthcare,29,Remote,46,13,4,High,Depression,Yes,No Change,1,Unsatisfied,3,Daily,Average,Europe
EMP00100,53,Female,Software Engineer,Education,5,Remote,37,7,4,Low,,No,Decrease,2,Satisfied,2,,Average,South America
EMP00101,52,Non-binary,Data Scientist,Finance,33,Onsite,53,14,1,Medium,Anxiety,No,Decrease,3,Neutral,4,,Average,South America
EMP00102,58,Female,Marketing,Manufacturing,27,Hybrid,53,12,3,High,Depression,No,No Change,1,Neutral,5,,Good,South America
EMP00103,32,Male,Project Manager,Healthcare,28,Hybrid,37,9,5,Medium,Depression,No,Decrease,1,Satisfied,3,Daily,Poor,Oceania
EMP00104,49,Male,Software Engineer,Education,17,Onsite,39,11,1,Low,,Yes,No Change,1,Satisfied,4,Weekly,Average,Oceania
EMP00105,32,Female,Designer,Finance,18,Hybrid,49,1,2,Medium,Burnout,Yes,No Change,2,Neutral,2,Weekly,Poor,South America
EMP00106,30,Female,Data Scientist,Retail,19,Onsite,55,0,4,High,Burnout,No,No Change,5,Satisfied,3,Daily,Average,Asia
EMP00107,55,Non-binary,Project Manager,Healthcare,11,Remote,41,12,2,Medium,Burnout,Yes,Decrease,2,Satisfied,1,,Average,North America
EMP00108,29,Non-binary,Marketing,Finance,33,Remote,58,3,4,Medium,Anxiety,Yes,Decrease,2,Satisfied,3,Weekly,Poor,Asia
EMP00109,33,Male,Data Scientist,IT,29,Remote,27,6,1,High,,No,Increase,3,Satisfied,2,Daily,Average,Europe
EMP00110,44,Male,Sales,Manufacturing,11,Onsite,21,10,4,Low,,No,Decrease,2,Unsatisfied,1,Daily,Average,Oceania
EMP00111,52,Non-binary,Designer,IT,4,Hybrid,36,10,2,High,,No,Decrease,1,Neutral,4,,Average,North America
EMP00112,51,Female,Sales,Manufacturing,14,Onsite,58,11,5,Medium,Burnout,No,No Change,3,Unsatisfied,1,Daily,Average,Africa
EMP00113,35,Prefer not to say,Data Scientist,Retail,19,Hybrid,37,10,3,Medium,Burnout,No,Increase,5,Neutral,1,Daily,Average,Africa
EMP00114,46,Prefer not to say,Software Engineer,Education,4,Remote,52,3,4,Low,Burnout,Yes,Decrease,4,Satisfied,4,Weekly,Average,Asia
EMP00115,24,Prefer not to say,HR,Manufacturing,30,Remote,28,2,4,Medium,Anxiety,Yes,Increase,3,Unsatisfied,1,,Average,Europe
EMP00116,33,Non-binary,HR,Manufacturing,29,Remote,53,0,2,Medium,Burnout,No,Increase,5,Satisfied,2,Weekly,Average,North America
EMP00117,41,Female,Marketing,Retail,18,Onsite,34,8,2,Medium,Depression,No,Decrease,4,Unsatisfied,1,Daily,Good,Africa
EMP00118,23,Prefer not to say,Software Engineer,Finance,33,Hybrid,58,9,2,High,Depression,Yes,Decrease,3,Satisfied,2,Weekly,Good,South America
EMP00119,40,Male,Software Engineer,Healthcare,23,Onsite,31,1,2,High,Depression,Yes,No Change,3,Satisfied,4,Weekly,Good,Europe
EMP00120,35,Female,Sales,Education,29,Remote,48,10,3,Low,,No,Decrease,5,Satisfied,2,Daily,Average,Europe
EMP00121,56,Female,HR,Manufacturing,30,Hybrid,29,5,2,Low,Anxiety,Yes,Decrease,5,Satisfied,5,Daily,Poor,Europe
EMP00122,46,Male,Marketing,IT,3,Remote,23,8,4,Low,Burnout,No,No Change,5,Unsatisfied,2,Daily,Poor,Africa
EMP00123,39,Female,HR,Finance,8,Onsite,38,5,2,Medium,Depression,No,Increase,4,Unsatisfied,1,Weekly,Average,Africa
EMP00124,60,Prefer not to say,Sales,Manufacturing,22,Hybrid,21,12,5,Medium,,No,Increase,4,Unsatisfied,4,,Good,Oceania
EMP00125,56,Female,Project Manager,Education,24,Hybrid,29,11,4,Low,Burnout,No,Decrease,4,Satisfied,2,Daily,Good,Asia
EMP00126,23,Non-binary,Marketing,Consulting,19,Onsite,34,1,3,Low,Depression,No,No Change,5,Satisfied,3,Daily,Good,Oceania
EMP00127,49,Male,HR,Retail,29,Remote,55,6,4,High,,Yes,Increase,3,Satisfied,3,Daily,Good,Asia
EMP00128,32,Non-binary,Marketing,Retail,34,Hybrid,40,13,5,Low,,No,Decrease,5,Neutral,2,Weekly,Poor,Europe
EMP00129,35,Male,Software Engineer,Manufacturing,29,Remote,30,1,1,Medium,Depression,Yes,No Change,1,Satisfied,2,Weekly,Poor,North America
EMP00130,47,Female,Marketing,Finance,16,Remote,53,15,3,Low,Burnout,No,Increase,1,Satisfied,1,Daily,Poor,North America
EMP00131,33,Non-binary,Designer,Finance,7,Hybrid,39,15,4,Low,Burnout,Yes,Increase,1,Satisfied,1,Weekly,Poor,South America
EMP00132,30,Female,Designer,Healthcare,9,Remote,55,11,4,High,Depression,No,Decrease,2,Satisfied,5,Weekly,Average,Asia
EMP00133,43,Female,Project Manager,Healthcare,16,Hybrid,48,2,4,Medium,Anxiety,Yes,Decrease,3,Unsatisfied,5,Weekly,Good,Europe
EMP00134,57,Female,Project Manager,Education,20,Hybrid,27,0,3,Low,,Yes,No Change,3,Satisfied,3,,Average,South America
EMP00135,55,Non-binary,HR,Finance,19,Onsite,35,10,2,High,,Yes,Decrease,2,Neutral,5,Weekly,Poor,Africa
EMP00136,31,Male,Data Scientist,Retail,19,Remote,53,9,4,Medium,,Yes,No Change,5,Neutral,1,Daily,Poor,Africa
EMP00137,22,Male,Designer,Retail,22,Hybrid,49,8,1,High,Depression,Yes,Decrease,2,Neutral,3,Daily,Good,Oceania
EMP00138,44,Male,Sales,Manufacturing,4,Remote,30,12,2,Low,Depression,Yes,Decrease,3,Unsatisfied,4,Daily,Poor,Europe
EMP00139,24,Female,HR,Consulting,35,Onsite,38,4,4,Medium,Depression,No,Increase,1,Neutral,5,,Good,South America
EMP00140,24,Male,Marketing,IT,27,Remote,24,13,3,Low,Burnout,No,Decrease,2,Satisfied,1,,Average,Europe
EMP00141,56,Male,Marketing,Healthcare,35,Onsite,35,12,4,Medium,Depression,Yes,No Change,3,Unsatisfied,5,,Poor,Oceania
EMP00142,34,Prefer not to say,HR,Retail,1,Onsite,37,10,3,Low,Anxiety,Yes,Increase,3,Unsatisfied,2,,Good,Oceania
EMP00143,24,Prefer not to say,Sales,Healthcare,25,Hybrid,48,1,5,Low,Depression,Yes,Increase,3,Neutral,3,Weekly,Average,North America
EMP00144,49,Non-binary,Designer,IT,3,Remote,26,10,5,High,Anxiety,No,Decrease,3,Unsatisfied,5,Weekly,Poor,North America
EMP00145,27,Prefer not to say,Marketing,IT,15,Onsite,37,3,1,Medium,Anxiety,No,Decrease,4,Neutral,2,Weekly,Average,North America
EMP00146,35,Female,Data Scientist,Consulting,9,Hybrid,45,1,2,Medium,,Yes,No Change,5,Unsatisfied,2,,Poor,Asia
EMP00147,57,Male,Sales,Finance,35,Onsite,49,4,2,Low,Anxiety,Yes,Decrease,3,Neutral,5,Weekly,Poor,Africa
EMP00148,56,Female,Software Engineer,Education,7,Onsite,52,7,1,Low,,Yes,Decrease,2,Neutral,1,Weekly,Poor,South America
EMP00149,55,Non-binary,HR,Finance,11,Onsite,56,13,1,High,Burnout,Yes,Increase,2,Neutral,1,,Poor,Africa
EMP00150,41,Non-binary,Project Manager,Manufacturing,14,Remote,29,12,2,Low,Depression,Yes,No Change,5,Satisfied,2,,Poor,South America
EMP00151,55,Male,Project Manager,Finance,1,Hybrid,49,14,3,Low,,Yes,No Change,4,Unsatisfied,5,Weekly,Good,Asia
EMP00152,43,Female,HR,Education,3,Hybrid,34,0,2,High,,No,Increase,4,Neutral,5,Daily,Poor,Africa
EMP00153,55,Prefer not to say,Software Engineer,IT,10,Onsite,55,9,5,Medium,Depression,No,Decrease,5,Neutral,3,Weekly,Good,Oceania
EMP00154,59,Female,HR,Education,1,Hybrid,59,2,2,Medium,Depression,Yes,Increase,2,Satisfied,1,Daily,Average,Africa
EMP00155,57,Female,Marketing,Healthcare,11,Onsite,27,1,3,High,,Yes,No Change,3,Unsatisfied,2,,Poor,South America
EMP00156,27,Female,Project Manager,Manufacturing,30,Onsite,49,6,2,Low,Depression,No,Increase,3,Neutral,2,,Poor,Oceania
EMP00157,40,Female,Designer,Healthcare,19,Remote,35,6,2,Medium,,No,Decrease,2,Satisfied,5,Weekly,Good,South America
EMP00158,33,Male,Sales,Manufacturing,6,Hybrid,35,12,1,High,Depression,Yes,Increase,3,Unsatisfied,4,,Poor,Europe
EMP00159,54,Female,HR,Retail,29,Hybrid,29,15,3,High,Burnout,Yes,No Change,2,Unsatisfied,2,Weekly,Average,South America
EMP00160,30,Male,Sales,Finance,34,Remote,35,0,4,Medium,,No,No Change,2,Unsatisfied,5,,Poor,Oceania
EMP00161,41,Prefer not to say,Project Manager,Retail,26,Remote,60,9,1,High,Depression,Yes,Increase,3,Neutral,1,Daily,Poor,Europe
EMP00162,45,Female,Designer,Healthcare,12,Remote,20,15,2,Low,Burnout,Yes,Decrease,2,Neutral,4,Weekly,Good,North America
EMP00163,55,Male,Marketing,IT,5,Hybrid,48,1,3,High,Depression,Yes,Decrease,1,Unsatisfied,1,Weekly,Good,Oceania
EMP00164,46,Female,Project Manager,Finance,14,Remote,35,7,4,High,Burnout,Yes,No Change,3,Unsatisfied,1,Daily,Poor,Oceania
EMP00165,33,Non-binary,Project Manager,Healthcare,5,Hybrid,42,10,5,Low,Burnout,No,Increase,1,Satisfied,5,,Poor,Europe
EMP00166,43,Male,Software Engineer,Education,30,Onsite,41,15,3,Low,Burnout,No,No Change,4,Unsatisfied,4,Weekly,Average,Asia
EMP00167,30,Female,Designer,Education,34,Hybrid,30,8,2,High,Burnout,No,Increase,1,Neutral,2,,Average,Oceania
EMP00168,38,Prefer not to say,HR,IT,34,Remote,30,10,5,Medium,Burnout,No,Increase,2,Satisfied,3,Weekly,Average,Asia
EMP00169,51,Female,Marketing,Retail,20,Onsite,36,8,2,Medium,Burnout,No,Decrease,2,Satisfied,5,Weekly,Good,Asia
EMP00170,53,Male,HR,Manufacturing,11,Remote,35,8,1,Low,Burnout,Yes,Increase,3,Satisfied,1,,Poor,Europe
EMP00171,33,Female,Designer,Retail,8,Onsite,24,8,2,Medium,Depression,Yes,Increase,4,Satisfied,5,,Poor,Oceania
EMP00172,57,Non-binary,Project Manager,Consulting,15,Onsite,23,11,5,Medium,Anxiety,No,No Change,2,Neutral,2,Weekly,Poor,Africa
EMP00173,59,Non-binary,Marketing,Finance,34,Remote,39,5,4,Medium,,No,Increase,2,Neutral,3,Daily,Good,Africa
EMP00174,37,Prefer not to say,HR,Retail,31,Remote,27,3,5,Medium,Burnout,Yes,Increase,2,Neutral,3,Daily,Good,Africa
EMP00175,40,Non-binary,HR,IT,29,Hybrid,33,13,4,High,Anxiety,Yes,Increase,3,Satisfied,2,Weekly,Poor,North America
EMP00176,44,Female,Data Scientist,Manufacturing,29,Remote,53,10,5,Low,,Yes,Increase,3,Unsatisfied,4,,Good,Asia
EMP00177,44,Male,Sales,Education,13,Remote,36,6,4,High,Depression,No,Decrease,2,Satisfied,5,Daily,Poor,North America
EMP00178,51,Non-binary,Data Scientist,IT,6,Onsite,31,11,3,High,Burnout,Yes,Increase,2,Unsatisfied,1,Daily,Poor,North America
EMP00179,55,Female,HR,Education,7,Onsite,45,8,5,High,Depression,Yes,Decrease,5,Unsatisfied,2,Weekly,Good,Asia
EMP00180,43,Female,Marketing,Consulting,15,Hybrid,45,10,2,Medium,Burnout,No,Decrease,5,Satisfied,5,Weekly,Poor,Africa
EMP00181,27,Male,Project Manager,IT,20,Remote,45,12,2,Low,Burnout,Yes,No Change,2,Satisfied,4,,Average,Africa
EMP00182,53,Male,Marketing,Manufacturing,22,Onsite,22,15,3,High,,No,Decrease,2,Neutral,3,Daily,Average,South America
EMP00183,37,Female,Data Scientist,IT,23,Remote,45,15,5,Medium,Burnout,No,Increase,4,Unsatisfied,2,Daily,Good,Europe
EMP00184,54,Prefer not to say,Designer,Consulting,15,Remote,20,5,5,Medium,Anxiety,No,No Change,2,Neutral,1,,Average,Oceania
EMP00185,52,Prefer not to say,Sales,Consulting,16,Remote,23,0,5,High,Burnout,No,No Change,2,Satisfied,1,,Poor,Europe
EMP00186,50,Non-binary,Software Engineer,Education,4,Hybrid,25,14,2,Medium,Depression,No,Decrease,3,Neutral,1,,Average,Oceania
EMP00187,36,Male,HR,Manufacturing,35,Onsite,20,2,5,Low,,No,Decrease,3,Neutral,2,Weekly,Average,North America
EMP00188,44,Prefer not to say,Designer,Education,16,Hybrid,50,15,3,Low,Burnout,Yes,No Change,2,Satisfied,4,,Good,Europe
EMP00189,60,Female,Data Scientist,Manufacturing,9,Onsite,60,14,1,Low,,No,No Change,1,Unsatisfied,1,Daily,Poor,Europe
EMP00190,49,Non-binary,Sales,IT,25,Remote,46,3,5,Medium,Burnout,No,Increase,5,Unsatisfied,3,,Average,Asia
EMP00191,52,Male,Software Engineer,Healthcare,1,Hybrid,38,2,2,High,,Yes,Increase,3,Unsatisfied,1,Daily,Good,North America
EMP00192,50,Prefer not to say,HR,Education,16,Hybrid,33,11,1,High,Anxiety,Yes,Increase,5,Satisfied,4,Weekly,Average,South America
EMP00193,51,Male,Marketing,Manufacturing,10,Onsite,21,13,5,Low,Anxiety,No,Increase,1,Neutral,2,,Average,South America
EMP00194,54,Prefer not to say,Project Manager,IT,2,Onsite,23,3,5,Low,,Yes,Increase,5,Satisfied,5,Weekly,Poor,Africa
